"ColorName","ColorId","ColorHex"
"Transparente - somente padrão Coralit","239000","#F5F4ED"
"Branco Artesão","532271","#EFEBE3"
"Branco","627570","#F2ECDF"
"Branco Permanente","627570","#F2ECDF"
"Branco Gatinho","49519","#E6E1D8"
"Branco Gatinho","49519","#E6E1D8"
"Equinócio de Outono","53135","#E3DCD4"
"Equinócio de Outono","53135","#E3DCD4"
"Branco Gelo","532121","#DBD8D0"
"Mantilha","234865","#F1F1ED"
"Urso de Pelúcia","234872","#F3F2EC"
"Casamento do Verão","266119","#EDEAEB"
"Casamento do Verão","266119","#EDEAEB"
"Branco Cru","49598","#EEEFEA"
"Branco Cru","49598","#EEEFEA"
"Branco Cru","49598","#EEEFEA"
"Peça de Cristal","49579","#E9EAE9"
"Sonata ao Luar","53251","#E9E9E9"
"Sopro de Neve","52944","#E8EAE9"
"Sopro de Neve","52944","#E8EAE9"
"Bala de Coco","234871","#F1F0E8"
"Bala de Coco","234871","#F1F0E8"
"Estrela de Luz","235303","#EEEFE8"
"Estrela de Luz","235303","#EEEFE8"
"Morada Polar","236059","#EBEAE8"
"Geleira Infinita","235160","#ECEDE7"
"Geleira Infinita","235160","#ECEDE7"
"Magnólia Cristalina","264855","#E9E9E7"
"Creme Inglês","233421","#F2ECE6"
"Colinas de Inverno","49596","#E9E7E6"
"Sequilho Mineiro","234479","#F6F2E5"
"Pipoca Salgada","234479","#F6F2E5"
"Pipoca Salgada","234479","#F6F2E5"
"Brisa Matinal","615","#F5EEE5"
"Brisa Matinal","615","#F5EEE5"
"Licor de Cupuaçu","234822","#F2F1E5"
"Vibração Positiva","234525","#F2EFE5"
"Espuma Doce","233911","#F2ECE5"
"Bem-Estar","616368","#F0EEE5"
"Bem-Estar","616368","#F0EEE5"
"Linho Claro","265323","#F4F0E4"
"Sonho de Anjo","13094","#F0EDE4"
"Sonho de Anjo","13094","#F0EDE4"
"Brilho Suave","53105","#EDE8E4"
"Mar Cinzento","236058","#E6E7E4"
"Branco Estiloso","234137","#F2EDE3"
"Branco Chantilly","265734","#F0E8E2"
"Espaço Interno","265178","#EEE6E2"
"Efeito Luminoso","265282","#F0E7E1"
"Pérola Natural","53134","#EFE9E1"
"Vestido de Moça","234403","#F7F0DF"
"Precioso Momento","49522","#EFE9DF"
"Branco Sussurro","259157","#EEE9DE"
"Branco Natural","49520","#EBE7DE"
"Brinco de Pérola","234453","#F3EDDD"
"Garça Real","259146","#EDE8DD"
"Garça Real","259146","#EDE8DD"
"Bolo de Iogurte","233999","#F7EBDC"
"Camisa de Linho","233999","#F7EBDC"
"Glamour","263835","#EFE5DC"
"Pingo de Gelo","234396","#E8E3DC"
"Dunas de Jeri","233909","#EAE4DB"
"Perfume do Dia","263836","#EFE4DA"
"Cielo Blanco","259163","#EBE6DA"
"Branco Arizona","264774","#F5EBD9"
"Papinha de Bebê","234140","#EFE8D9"
"Branco Partitura","1132","#E7E4D9"
"Vôlei de Praia","234095","#F6EBD8"
"Tempestade de Areia","259183","#F4E9D7"
"Opala","53143","#EAE3D7"
"Perfume de Jasmim","119841","#F4E9D6"
"Perfume de Jasmim","119841","#F4E9D6"
"Branco Presa","49707","#EDE3D5"
"Pólen","49543","#F3E8D4"
"Farol no Mar","616416","#F1E7D3"
"Biscoito de Polvilho","119811","#ECE2D1"
"Neutro Permanente","264743","#EAE0CD"
"Ar Fresco","52995","#ECEAED"
"Ar Fresco","52995","#ECEAED"
"Gota de Pérola","52951","#E8EAEB"
"Gota de Pérola","52951","#E8EAEB"
"Brilho de Cristal","52980","#E8E8EB"
"Atmosfera","263897","#E8EAE9"
"Atmosfera","263897","#E8EAE9"
"Estrela Nova","52940","#E6E9E9"
"Estrela Nova","52940","#E6E9E9"
"Chuva de Barcelona","265241","#E4E7E9"
"Caminhada de Pinguim","264123","#E9E8E8"
"Simples","53270","#E9E8E8"
"Manhã Fria","265236","#E2E7E7"
"Manhã Fria","265236","#E2E7E7"
"Perfume de Lavanda","237247","#DFE2E7"
"Dia de Inverno","49586","#E7EAE6"
"Dia de Inverno","49586","#E7EAE6"
"Nevasca","266007","#E6E9E6"
"Nevasca","266007","#E6E9E6"
"Bola de Golfe","236877","#E2E5E6"
"Licor de Cupuaçu","234822","#F2F1E5"
"Tigre Branco","234822","#F2F1E5"
"Anel de Noiva","234869","#EEEDE5"
"Anel de Noiva","234869","#EEEDE5"
"Sombra Pálida","266169","#ECE8E5"
"Boneca de Porcelana","232945","#EAE8E5"
"Toque de Inverno","265176","#EAE8E5"
"Boneca de Porcelana","232945","#EAE8E5"
"Porcelana","71986","#E8E8E5"
"Porcelana","71986","#E8E8E5"
"Luar Sedoso","100894","#E8E8E4"
"Luar Sedoso","100894","#E8E8E4"
"Caso Secreto","100999","#EDE8E3"
"Esconderijo Silencioso","265818","#E8E7E3"
"Cabelo de Anjo","49510","#EFE8E2"
"Branco Confeiteiro","234389","#ECE9E2"
"Iceberg","236963","#DAE0E2"
"Iceberg","236963","#DAE0E2"
"Iceberg","236963","#DAE0E2"
"Afago","53124","#EEE7E1"
"Ouriço Branco","53117","#EDE7E1"
"Branco Minimalista","264769","#EBE8E1"
"Toque de Rosa","259186","#EAE6E1"
"Ventos Calmos","101008","#EFE7E0"
"Ventos Calmos","101008","#EFE7E0"
"Branco Casamento","100887","#ECE9E0"
"Doce Memória","237980","#E8E4E0"
"Nuvem Distante","236243","#DEE2E0"
"Ametista Difusa","53264","#DBDDE0"
"Porcelana Antiga","53137","#EFE8DF"
"Camafeu Branco","234397","#EDE8DF"
"Xícara de Chá","265235","#EDE4DE"
"Chafariz Francês","235159","#E1E2DD"
"Carvão do Ártico","53271","#DBDBDD"
"Relíquia Antiga","232949","#E5E0DC"
"Chiffon","49827","#E0E1DC"
"Glicínia Branca","49460","#DADBDC"
"Glicínia Branca","49460","#DADBDC"
"Pássaro do Inverno","49603","#E4E1DB"
"Balé do Gelo","49476","#DCDBDB"
"Branco Estivador","49532","#F0E8DA"
"Mistério da Lua","234864","#DEDEDA"
"Toque de Cinza","264346","#DADAD9"
"Toque de Cinza","264346","#DADAD9"
"Névoa do Pacífico","265231","#EDE6D8"
"Lã Macia","266247","#E8E0D8"
"Branco Gatinho","49519","#E6E1D8"
"Branco Gatinho","49519","#E6E1D8"
"Coelho Branco","72800","#DDDAD8"
"Vestido de Cetim","236057","#D9DAD8"
"Pedido de Casamento","234395","#E5DFD7"
"Pelicano","49601","#DEDCD7"
"Campo Nevado","49875","#D8D8D7"
"Plaza","100890","#DADBD6"
