"ColorName","ColorId","ColorHex"
"Inspiração","2001E","#ECE5C2"
"Creme de Baunilha","2002E","#F6EDB6"
"Jasmim-Estrela","2003E","#E9DD90"
"Campestre","2004E","#E8D983"
"Origami","2005E","#E6D67D"
"Bosque","2006E","#D5C24C"
"Creme de Aspargo","2007E","#B19F30"
"Luz de Tulipa","2008E","#F5F0D9"
"Esfera Celeste","2009E","#F8F3CF"
"Creme de Banana","2010E","#F9EFB1"
"Pijama de Algodão","2011E","#FAED99"
"Alegria","2012E","#FCE87A"
"Amarelo Texas","2013E","#FBDF47"
"Zangão","2014E","#F9CE00"
"Luz do Dia","2015E","#F8F5E3"
"Pétala","2016E","#F6F0D3"
"Suflê","2017E","#FBEFB8"
"Margarida Perfumada","2018E","#FEEA98"
"Paisagem de Sol","2019E","#FEE483"
"Tulipa Amarela","2020E","#FFD33C"
"Equador","2021E","#FFBE00"
"Delicada Flor","2022E","#F6F0D6"
"Sorvete de Abacaxi","2023E","#FAEDC3"
"Amarelo Suave","2024E","#FEE8A3"
"Apollo","2025E","#FFE288"
"Raio Solar","2026E","#FFD868"
"Sol Escaldante","2027E","#FFC624"
"Astro Rei","2028E","#FFB200"
"Lua de Papel","2029E","#F6EED4"
"Mingau","2030E","#FBEEC3"
"Broa de Milho","2031E","#FEE8A9"
"Panqueca","2032E","#FDDB86"
"Flocos Crocantes","2033E","#FED36F"
"Sol de Abril","2034E","#F5B937"
"Explosão solar","2035E","#E6A512"
"Despertar Sereno","2036E","#F6EED6"
"Vinho Branco","2037E","#F9EBC2"
"Obra Prima","2038E","#FADFA4"
"Doce Cremoso","2039E","#F9D382"
"Boas Lembranças","2040E","#F5C76A"
"Simplesmente Elegante","2041E","#E7AE41"
"Minério","2042E","#DDA23D"
"Portões do Império","2043E","#F9EBCE"
"Trigo de Ouro","2044E","#F8E4C1"
"Passagem Bíblica","2045E","#F6DAA7"
"Pólen","2046E","#EECA8B"
"Sol do Cairo","2047E","#DDAE60"
"Curry","2048E","#D8A452"
"Mel Egípcio","2049E","#C28E40"
"Pão de Forma","2050E","#FCEFCA"
"Flan","2051E","#FCE9B3"
"Nostalgia","2052E","#FDE3A1"
"Hibisco Amarelo","2053E","#FFD779"
"Pétala de Girassol","2054E","#FFD26E"
"Ensolarado","2055E","#FFB632"
"Lírio Dourado","2056E","#FCA421"
"Enxoval","2057E","#F6EEDC"
"Imaginação","2058E","#FAE6C4"
"Shake de Baunilha","2059E","#FBD9AA"
"Licor de Damasco","2060E","#F6C78E"
"Bouquet","2061E","#F1B978"
"Início do Outono","2062E","#E39A4F"
"Bronze Grego","2063E","#BD7837"
"Cashmere","2064E","#F8EFD5"
"Seda","2065E","#FEEAC4"
"Carotina","2066E","#FFD9A4"
"Bergamota","2067E","#FFCA87"
"Bolo de Laranja","2068E","#FFBB70"
"Gelatina de Tangerina","2069E","#FA9840"
"Citros","2070E","#F48128"
"Creme Hidratante","2071E","#F7EFDE"
"Duna","2072E","#F7E7CE"
"Biscoito Salgado","2073E","#F7D6B2"
"Festival","2074E","#F4C78A"
"Batata da Terra","2075E","#EFB57B"
"Grand Canyon","2076E","#D6844A"
"Pulseira de Cobre","2077E","#A56A49"
"Poesia","2078E","#F7E7D6"
"Blush","2079E","#F7DEC6"
"Pedra do Sol","2080E","#EFC6AD"
"Barro","2081E","#DCAE8C"
"Tributo a Terra","2082E","#CC9C79"
"Moda de Viola","2083E","#BD845A"
"Chá de Canela","2084E","#A56A49"
"Champagne Francês","2085E","#F7E7D6"
"Timidez","2086E","#FFDEC6"
"Flor de Pêssego","2087E","#FFD6B5"
"Cantalupo","2088E","#FFC6A5"
"Creme de Papaia","2089E","#FAAA76"
"Halloween","2090E","#F88856"
"Laranja Rubi","2091E","#F07238"
"Sépala","2092E","#F7E7D6"
"Sopro de Primavera","2093E","#F7DEC6"
"Pêssego Bronzeado","2094E","#F7CEAD"
"Verão Indiano","2095E","#FBBD94"
"Luar Mexicano","2096E","#EE9463"
"Magnólia","2097E","#E78C59"
"Moringa","2098E","#BD6241"
"Bege Puritano","2099E","#F7E7DF"
"Ópera","2100E","#F7DECE"
"Pele Macia","2101E","#EFC6AD"
"Adormecida","2102E","#EEB695"
"Vaso Barroco","2103E","#CE8C63"
"Ferrugem","2104E","#C67A51"
"Vulcão","2105E","#A95942"
"Toque Macio","2106E","#F7EFDE"
"Fragrância de Pêssego","2107E","#F7DED6"
"Pergolado","2108E","#F7D6BD"
"Creme de Laranja","2109E","#F7C3A4"
"Prato Típico","2110E","#FFA988"
"Suco de Acerola","2111E","#F08966"
