"ColorName","ColorId","ColorHex"
"Mousse de Morango","SW6561","#ebd1db"
"Irresistível","SW6562","#e3c0cf"
"Baía Rosada","SW6563","#cb9aad"
"Rosa Antigo","SW6564","#b87e93"
"Ameixa Nobre","SW6565","#92576f"
"Gerânio Rosa","SW6841","#953d68"
"Fúcsia Vibrante","SW6842","#92345b"
"Rosa Bambina","SW6568","#edd5dd"
"Infantil","SW6569","#e8c0cf"
"Namorico","SW6570","#d899b1"
"Amor Poético","SW6571","#c47b95"
"Rubi Intenso","SW6572","#a2566f"
"Calda de Amoras","SW6573","#854158"
"Flor de Crochê","SW6566","#7c3655"
"Rosa Princesa","SW6575","#f1d3da"
"Pavê Sensação","SW6576","#efc0cb"
"Rosa Porquinho","SW6577","#e392a1"
"Bicho de Pé","SW6578","#d47c8c"
"Rosa Festivo","SW6579","#b04b63"
"Desejo Ardente","SW6843","#ac4362"
"Cereja","SW6580","#99324e"
"Flor de Cerejeira","SW6582","#f1d2d7"
"Saudável","SW6583","#f0bcc9"
"Bom Humor","SW6584","#eb92a3"
"Entrega de Rosas","SW6585","#dd7788"
"Rosa Sedução","SW6860","#c84f68"
"Sincera","SW6586","#bd4c5f"
"Enamorado","SW6587","#a53a4e"
"Alisso-doce","SW6589","#f2d5d7"
"Rosa Amável","SW6590","#f0c1c6"
"Amarílis","SW6591","#ed939d"
"Licor de Romã","SW6592","#d66972"
"Beijo Rosado","SW6593","#bb4b51"
"De Parar o Trânsito","SW7588","#a42e37"
"Bico-de-papagaio","SW6594","#9d373c"
"Rosa Flor","SW6596","#f1c6c4"
"Cheio de Esperança","SW6597","#f0b3b2"
"Conto de Menina","SW6598","#ed9190"
"Begônia","SW6599","#d76c6e"
"Vermelho Sedutor","SW6600","#b74e4f"
"Tié-fogo","SW6601","#a43834"
"Vermelho Antigo","SW7587","#9f4442"
"Rosa Quartzo","SW6603","#f2ccc5"
"Leite com Morango","SW6604","#f0afa8"
"Carisma","SW6605","#ee9489"
"Puff Laranja","SW6606","#d9766c"
"Tomate-vermelho","SW6607","#b24743"
"Delírio Vermelho","SW6608","#a13b34"
"Tango","SW7600","#903934"
"Botão de Rosa","SW6288","#e0cdd1"
"Delicioso","SW6289","#d2b6be"
"Herança Rosé","SW6290","#b995a1"
"Onze-horas","SW6291","#9e6d79"
"Frutas do Bosque","SW6292","#8d5869"
"Uva Exuberante","SW6293","#6d344f"
"Pitanga-preta","SW7577","#533640"
"Recatada","SW6295","#e8d4d5"
"Rosa Discreto","SW6296","#dabdc1"
"Bordado à Mão","SW6297","#c79ea2"
"Blush","SW9001","#ae8087"
"Recital","SW6298","#9e6b75"
"Moça Bonita","SW6299","#895460"
"Borgonha","SW6300","#63333e"
"Dama Rosa","SW6302","#ebd1cf"
"Colorido Rosa","SW6303","#dcb6b5"
"Rosa Encantada","SW6304","#c39393"
"Gentileza","SW9002","#a87376"
"Rosa Trepadeira","SW6305","#995d62"
"Cordial","SW6306","#864c52"
"Vinho Saboroso","SW6307","#723941"
"Rosa Charmosa","SW6309","#edd3d2"
"Poema de Amor","SW6310","#e6bdbd"
"Rosa Vintage","SW6311","#cf8a8d"
"Rouge de Moça","SW9003","#ba7176"
"Mousse de Goiaba","SW6312","#ad5e65"
"Glamurosa","SW6313","#974953"
"Deixa Rolar","SW6314","#863a42"
"Aparência Rosada","SW6316","#ebcecb"
"Rosa Graciosa","SW6317","#e3b7b1"
"Goiaba em Calda","SW6318","#cd8e89"
"Abraço de Vó","SW9004","#c37f7a"
"Avermelhado","SW6319","#b56966"
"Valente","SW6320","#a0524e"
"Enseada Vermelha","SW6321","#8e3738"
"Tom de Romance","SW6323","#ebcfc3"
"Sapatilha de Balé","SW6324","#e3b5a8"
"Arrasta-pé","SW6325","#cd8e7f"
"Recheio de Goiaba","SW9005","#bf796e"
"Peão de Barretos","SW6326","#b3675d"
"Rancho Fundo","SW6327","#a0584f"
"Chega Mais","SW6328","#7b3730"
"Moça Recatada","SW6330","#eacdc1"
"Salmão Defumado","SW6331","#e2b6a7"
"Ilha Solteira","SW6332","#ce9382"
"Poeira Vermelha","SW9006","#b57466"
"Telha Colonial","SW6333","#a85e53"
"Vaso de flor","SW6334","#8f4438"
"Tijolo Queimado","SW6335","#83382a"
"Possessão Vermelha","SW6869","#c33a36"
"Laranja Intenso","SW6884","#d7552a"
"Miçanga Laranja","SW6885","#e16f3e"
"Doce de Abóbora","SW6886","#e47237"
"Bobó de Camarão","SW6887","#ec8430"
"Carnaval","SW6892","#eb882c"
"Laranja Juventude","SW6890","#f4a045"
"Salmão Rosado","SW6610","#f2d1c3"
"Jovial","SW6611","#f2b8a7"
"Sushi","SW6612","#e79580"
"Buquê Champanhe","SW6613","#d87b6a"
"Agridoce","SW6614","#c76356"
"Apimentado","SW6615","#b85444"
"Pimenta Habanero","SW7589","#b8473d"
"Rubor Inocente","SW6617","#f0d1c3"
"Flor de Crepom ","SW6618","#f3c1ab"
"Atmosfera de Marte","SW6619","#e49780"
"Rejuvenescer","SW6620","#dd7861"
"Forró Pé-de-serra","SW6621","#c65f47"
"Laranja Singular","SW6622","#b44b34"
"Pimenta Caiena","SW6881","#c04d35"
"Flor de Pêssego","SW6624","#f3d0bd"
"Aroma de Pêssego","SW6625","#f2bda2"
"Alvorecer","SW6626","#e2946f"
"Brasa Incandescente","SW6627","#d67c56"
"Colcha de Retalhos","SW6628","#c4633e"
"Pimenta Jalapeño","SW6629","#b1533c"
"Lajota Colonial","SW7599","#93402f"
"Pêssego Natural","SW6631","#f3d3bf"
"Vitamina de Papaia","SW6632","#f3c1a3"
"Calor Humano","SW6633","#e89d6f"
"Mina de Cobre","SW6634","#d57e52"
"Laranja Determinado","SW6635","#c56639"
"Casca de Laranja","SW6636","#bb613e"
"Cultura Popular","SW6883","#c35530"
"Água de Pêssego ","SW6638","#f4d3b3"
"Boa-tarde","SW6639","#f4c69f"
"Bolsa de Mulher","SW9007","#f2b88c"
"Bergamota","SW6640","#f2ac78"
"Lenda do Sertão","SW6641","#e6955f"
"Sertão Nordestino","SW6642","#cb7841"
"Abóbora Doce","SW6643","#c36f3e"
"Pudim de Leite","SW6652","#f4d4af"
"Melão Delicioso","SW6653","#f5c894"
"Perfume de Âmbar","SW6654","#efb57a"
"Aventura Laranja","SW6655","#e69f5f"
"Alegria de Viver","SW6656","#d88b4d"
"Chapéu de Couro","SW6657","#d28240"
"Jarro de Barro","SW7703","#a85e39"
"Cativante","SW6659","#f4d9b1"
"Criancice","SW6660","#f5cf9b"
"Vinho Espumante","SW9008","#f5c78e"
"Flan de Papaia","SW6661","#efb97b"
"Dia de Verão","SW6662","#eaaa62"
"Açafrão","SW6663","#df984e"
"Calêndula","SW6664","#d28233"
"Doçura","SW6337","#edd2c0"
"Licor de Pêssego","SW6338","#e4b9a2"
"Geleia de Caqui","SW6339","#d9987c"
"Siena Delicado","SW9009","#cc896c"
"Falésias de Pipa","SW6340","#c1785c"
"Aldeia Indígena","SW6341","#ad654c"
"Pimenta-cumari","SW6342","#994b35"
"Renda Discreta","SW6344","#eccfbb"
"À Beira do Rio","SW6345","#e5b99b"
"Aroma de Laranja","SW6346","#db9c7b"
"Crisântemo","SW6347","#c47b5b"
"Especiarias","SW6348","#b46848"
"Sarapatéu","SW6349","#a2583a"
"Jacarandá-da-bahia","SW7598","#924e3c"
"Laranja Doce","SW6351","#ebccb3"
"Damasco Suave","SW6352","#e0b392"
"Cânion do Itaimbezinho","SW9010","#dba480"
"Cavalheirismo","SW6353","#d4966e"
"Armanhaque","SW6354","#c38058"
"Moeda Americana","SW6355","#b46c42"
"Montanha de Cobre","SW6356","#a6613c"
"Geada de Outono","SW6358","#edd0b6"
"Sociável","SW6359","#e8be9b"
"Ocre Campeiro","SW9011","#e3ab7b"
"Amanhecer do Outono","SW6360","#d69969"
