"ColorName","ColorId","ColorHex"
"Algodão Egípcio","RM009","#E3DDD1"
"Branco","RM000","#FFFFFF"
"Erva-doce","RM008","#EBEADA"
"Palha","RM010","#DFD4BC"
"Gelo","RM012","#E0DDD2"
"Pérola","RM015","#EFE0CA"
"Marfim","RM017","#E9D9B4"
"Amarelo Canário","RM018","#FADD8E"
"Pêssego","RM022","#EDC4A7"
"Verde-água","RM029","#D7E7D7"
"Cromo Suave","RM149","#FCC96A"
"Amarelo Demarcação","RM155","#F4CE46"
"Dubai","RM011","#E1DCCE"
"Vanila","RM016","#EFD6A9"
"Linho","RM001","#D2C8AE"
"Menta","RM030","#C8D1C2"
"Pinho Americano","A190V","#E0E0E0"
"Pequiá","B190V","#D6D6D6"
"Campim de Ouro","B191V","#D9D9D9"
"Pinho nobre","C190V","#D9D9D9"
"Ipê Amadeirado","A191V","#D9D9D9"
"Palha Dourada","D190V","#D3D3D3"
"Contemplação","A767","#C0D0CF"
"Delicadeza","A501","#EEE7E9"
"Doçura","B501","#F0E8EC"
"Sonho Bom","Z026","#EAE2E5"
"Camisola de Cetim","A228","#F4E6E8"
"Graciosa","E501","#F1E9EC"
"Pétala","P501","#EEE7E9"
"Flor Lilás","C501","#EBE2DF"
"Berço de Neném","A502","#F2E8E1"
"Sopro","B502","#F0EBE8"
"Relicário","C502","#F1E9E3"
"Lençol de Linho","D502","#F0EAE7"
"Casamento","A201","#F0E9E4"
"Marshmallow","F119","#F1E8E3"
"Coquetel de Lichia","A103","#F1E2DC"
"Amêndoa","A503","#EDE9E7"
"Arrepio","B503","#F4EDE8"
"Vestido de Noiva","B201","#EEE7E5"
"Suavidade","D503","#F2E8E3"
"Espuma Rosada","E503","#F1E8E1"
"Timidez","P503","#F2E6E1"
"Sete Pecados","F144","#F0E0DB"
"Fórmica","A504","#EFEAE5"
"Balé Chinês","B504","#EFE9E2"
"Pátina Açucarada","C504","#F3E9E1"
"Pasta Americana","D504","#F1E8DF"
"Chocolate Branco","A375","#EFE4D9"
"Mundo da Fantasia","F140","#F4E6DD"
"Marcha Nupcial","F130","#F4E4D9"
"Sorbet de Pêssego","A505","#F6E7D6"
"Branco Quente","F505","#F6EADD"
"Adorno","C505","#F5E7DD"
"Abraço de Mãe","D505","#F8E5D5"
"Casa de Praia","E505","#F8E1CC"
"Doce Lembrança","P505","#FCE4D1"
"Fofura","R505","#FBE0D1"
"Polpa de Cacau","A506","#F3EFE2"
"Merengue","D204","#F4EDE1"
"Glacê","C204","#F4EEE3"
"Espinho de Rosa","A030","#F2ECD8"
"Crista de Pônei","A172","#F0E6D5"
"Pão de Minuto","F097","#F2EBD8"
"Seda Pura","R506","#F7E9D3"
"Creme de Arroz","A507","#EFF0E4"
"Areia Fina","B507","#EFEFDC"
"Suspiro Caseiro","C507","#F4F2DD"
"Acalento","D507","#F4EED6"
"Feixe de Luz","E507","#F5ECD4"
"Casa de Bonecas","P507","#F7EBC4"
"Flan de Baunilha","Z006","#F8E7C4"
"Gelo Seco","A508","#EDE9E1"
"Espuma de Baunilha","B508","#F3F1E5"
"Areia Quente","C508","#EFEBDA"
"Lenda do Deserto","D508","#EDE8D6"
"Duna Maranhense","E508","#E8DCC6"
"Palha Antiga","P508","#E6DAC5"
"Xale Árabe","R508","#E1D6C0"
"Poema do Campo","A509","#F2F0E3"
"Sorbet de Baunilha","B509","#F5F1E5"
"Rendado","C509","#F0EBDD"
"Papel Antigo","D509","#F3E9D8"
"Palha Suave","E509","#ECE3D0"
"Creme de Amendoim","P509","#E8DDC9"
"Pergaminho Egípcio","R509","#E9DCC9"
"Brilho do Luar","A510","#F0EDD8"
"Luz do Dia","Z004","#F7F3E0"
"Toalha de Crochê","C510","#F1EED9"
"Espuma de Leite","D510","#F1EBCF"
"Glacê de Limão","E510","#F3F3D4"
"Toque do Oriente","P510","#F6F1CC"
"Luz de Inverno","A031","#EEE9C9"
"Reino da Ilusão","Z049","#E5EEE4"
"Atmosfera","F043","#E6EDDF"
"Mojito","C018","#E2E9D9"
"Mergulho no Mar","A017","#E3EBD6"
"Afrodite","A303","#E1EAD5"
"Bodas de Esmeralda","B018","#DEE5D1"
"Mousse de Limão","A058","#DFE7D2"
"Açúcar Refinado","B204","#EFECE3"
"Banhos Termais","A206","#ECEBE5"
"Papel de Seda","A208","#EDECE3"
"Trufa de Cupuaçu","A143","#ECE9DC"
"Guardanapo de Pano","A144","#E9E7D7"
"Dente-de-leão","A018","#E3E5D1"
"Gelo e Limão","G062","#E8E7CF"
"Boa Sorte","A513","#EEF2E3"
"Sopro de Menta","B513","#E8EEE6"
"Maré Calma","C513","#EBEEE3"
"Toque de Frescor","D513","#EAEDE1"
"Pura Delícia","E513","#EEF2E3"
"Chá Refrescante","P513","#EAEFDA"
"Geladinho","R513","#E6EFD2"
"Paz Mundial","A514","#EAEBE3"
"Relax Total","B514","#E8EEE1"
"Vento Bom","C514","#ECF1E6"
"Sossego","D514","#E8ECDF"
"Biscoito de Limão","E514","#E8F1E2"
"Bala de Menta","P514","#E5F0DF"
"Chá Gelado","R514","#E3EEE0"
"Cetim","A205","#E9EBE5"
"Leve Balanço","B515","#EDF1E3"
"Leve Ventania","C515","#E6EEED"
"Hortelã Suave","D515","#E6EFE7"
"Limonada Refrescante","E515","#E3ECE5"
"Queda-d'água","E206","#E2E9E0"
"Chafariz","R206","#DCE8E1"
"Petúnia Branca","A207","#E8ECEC"
"Orvalho do Campo","B516","#E5EAEC"
"Copo-de-leite","C207","#E4E9EC"
"Pétala Branca","D207","#E4EDED"
"Sereno","E516","#E2E8E2"
"Mentolado","P516","#E1EDEE"
"Estação das Chuvas","A327","#DBEAEC"
"Respiro na Mata","A517","#E8EDED"
"Caminho de Gelo","B517","#E5EBE6"
"Amenidade","C517","#E4EAE6"
"Creme Delicado","D517","#E3EAE7"
"Gérbera Branca","P207","#DCE7E8"
"Luz das Estrelas","A394","#DDEAEA"
"Margarida","E207","#DDEAE9"
"Talco Refrescante","A518","#E1E9ED"
"Céu do Amanhecer","B518","#E0EAE9"
"Água Cristalina","C518","#DEE9EC"
"Banho de Lua","D518","#DCEAEE"
"Vento Frio","E518","#D4E6EB"
"Céu Iluminado","P518","#D3E4EA"
"Céu de Verão","A339","#CBE4F0"
"Orquídea Branca","B207","#E5E8EB"
"Opala Cristal","Z034","#DCE8EB"
